id,titulo,descripcion,bloque,tipo,prioridad,labels,sprint
RF01,Gestión de alertas,"El sistema debe monitorizar los descriptores de las alertas mediante un proceso continuo definido por una expresión cron. Cuando se detecta una noticia, se almacena y pasa al módulo de clasificación.",Requisitos Funcionales,enhancement,Alta,"clave, scheduler",2
RF02,Permisos del Gestor,El sistema debe permitir a un Gestor dar de alta alertas especificando un nombre y una palabra clave.,Requisitos Funcionales,enhancement,Media,permisos,3
RF03,Limitaciones del Gestor,El sistema debe restringir el máximo de alertas por Gestor a 20.,Requisitos Funcionales,enhancement,Media,limites,3
RF04,Clasificación de Alertas,El sistema debe obligar a clasificar cada alerta dentro del estándar IPTC Media Topics.,Requisitos Funcionales,enhancement,Media,"clasificacion, iptc",3
RF05,Cantidad de Recomendaciones,El sistema debe recomendar entre 3 y 10 palabras extra (sinónimos o relacionadas) al introducir la palabra clave de una alerta.,Requisitos Funcionales,enhancement,Baja,recomendaciones,3
RF06,Acciones del Usuario,El sistema debe permitir al usuario aceptar o rechazar manualmente las recomendaciones de palabras extra.,Requisitos Funcionales,enhancement,Baja,ui,3
RF07,Canales de las alertas,"El sistema debe permitir al usuario seleccionar canales RSS específicos para la alerta; por omisión, asignará todos los de su misma categoría.",Requisitos Funcionales,enhancement,Media,rss,3
RF08,Clasificación de Noticias,"El sistema debe clasificar cada noticia candidata según la categoría IPTC de la alerta (exclusivamente de primer nivel) o, en su defecto, la del canal RSS origen.",Requisitos Funcionales,enhancement,Alta,"clave, ia, iptc",3
RF09,Generación de notificaciones,El sistema debe generar una notificación cuando detecte una noticia que coincida con los criterios de una alerta.,Requisitos Funcionales,enhancement,Media,notificaciones,4
RF10,Configuración de alertas,La alerta se podrá configurar para que envíe notificaciones al buzón de la aplicación o al correo electrónico del usuario por la aparición de noticias que contengan las palabras definidas en dicha alerta.,Requisitos Funcionales,enhancement,Alta,"clave, eventos, notificaciones",4
RF11,Título de las Notificaciones,"El sistema debe estructurar el título de la notificación con el formato: 'Actualización de <alerta> en <día/hora>'.",Requisitos Funcionales,enhancement,Baja,notificaciones,4
RF12,Contenido de las notificaciones,"El sistema debe incluir en el cuerpo de la notificación: origen, fecha/hora, título de la noticia y resumen del RSS.",Requisitos Funcionales,enhancement,Baja,notificaciones,4
RF13,Creación de Canales,El sistema debe permitir a un Gestor dar de alta canales RSS asociados a un medio de comunicación y a una categoría IPTC.,Requisitos Funcionales,enhancement,Media,"rss, iptc",2
RF14,Gestión de Fuentes RSS,El sistema debe incluir al menos 100 canales RSS de 10 medios distintos cubriendo cada categoría de primer nivel IPTC.,Requisitos Funcionales,enhancement,Alta,"clave, ingesta, rss",2
RF15,Gestión de Usuarios,"Dos roles: Gestor y Lector. Atributos: email, nombre, apellidos, organización. Email de verificación al registro con caducidad de 24 horas. Admin inicial que asigna roles. Recuperación de contraseña. El Lector accede a toda la plataforma excepto la gestión de alertas y fuentes.",Requisitos Funcionales,enhancement,Alta,"usuarios, auth",1
RF16,Panel de Mando,"Nube de palabras por categoría. Estadísticas: nº fuentes, nº noticias, nº noticias/categoría, nº alertas, nº alertas/categoría. CRUD de alertas y fuentes. Gestión de perfil. Soporte bilingüe ES/EN (UI, no contenidos).",Requisitos Funcionales,enhancement,Media,"dashboard, ui, i18n",4
RNF01,Arquitectura de 5 capas,"Se requiere que el sistema software esté basado en 5 capas obligatorias: Gestor de datos para información, Gestor de datos para entidades, Lógica de negocio, API REST, Capa de visualización.",Requisitos No Funcionales,architecture,Alta,arquitectura,1
RNF02,Diseño basado en API REST,Toda la comunicación y la gestión de información se debe realizar usando una API REST.,Requisitos No Funcionales,architecture,Alta,api,1
RNF03,Documentación de la API,Toda la documentación de la API REST deberá ser hecha usando OpenAPI.,Requisitos No Funcionales,documentation,Media,"openapi, documentacion",1
RNF04,Configuración con Docker,"El software y su entorno deberán ser configurados utilizando la herramienta de Docker (o similar, pero se recomienda esta).",Requisitos No Funcionales,infrastructure,Alta,"docker, devops",1
RNF05,Automatización de la configuración,Deben existir mecanismos para automatizar la configuración de todas las herramientas tecnológicas utilizadas.,Requisitos No Funcionales,infrastructure,Alta,"automatizacion, devops",4
RNF06,CI (Integración Continua),Se debe automatizar la ejecución de pruebas (unitarias y funcionales) cada vez que se integre nuevo código en el repositorio.,Requisitos No Funcionales,ci-cd,Alta,"ci, automatizacion",1
RNF07,Cobertura de pruebas,"Es obligatorio cubrir como mínimo un número de pruebas unitarias y funcionales del sistema, con bibliotecas como Junit, Mockito, etc. Opcionalmente, pruebas de rendimiento (con Apache JMeter, Locust, etc.).",Requisitos No Funcionales,testing,Alta,"testing, qa",3
RNF08,Métricas de calidad del código,"El sistema debe proporcionar (de forma automática) métricas sobre el código fuente. Por ejemplo, con algún plugin de entorno de desarrollo o bien con una herramienta tipo SonarQube.",Requisitos No Funcionales,infrastructure,Media,"calidad, sonarqube",3
RNF09,Empaquetado y distribución (CD),"El sistema debe empaquetarse automáticamente para su distribución, generando los artefactos necesarios.",Requisitos No Funcionales,ci-cd,Alta,"cd, devops",4
RNF10,Evaluación con pipeline de construcción y ejecución,"El repositorio debe permitir a un evaluador clonar el proyecto y, mediante la ejecución de un único comando o pipeline, realizar las siguientes tareas (sin intervención manual adicional, automatizado): Construir el sistema (partiendo de 100 canales de 10 medios), Ejecutar pruebas, Generar documentación y cobertura, Desplegar en entorno limpio y Ejecutar la app.",Requisitos No Funcionales,ci-cd,Alta,"pipeline, automatizacion",4
RNF11,Documentación automatizada y formato,"Toda la documentación del proyecto debe estar versionada junto al código fuente (no debe ser externa), generarse automáticamente cuando se posible, y mantener referencias cruzadas con requisitos, ADRs, componentes y pruebas. Además, la documentación generada deberá mantener de forma estricta la trazabilidad con los prompts utilizados para generar código o configuraciones.",Requisitos No Funcionales,documentation,Media,"documentacion, trazabilidad",1